Generation,Individual,Fitness,Score_Color_Line,Score_Proximity_Collisions,Score_Distance_Area,Collisions,Genome,Not_Up_right
1,1,0,0.0005,0.9996666666666667,0.0003333333333333333,2,"[ 1.  -0.8  0.5 -0.5 -0.8  1.  -0.5  0.5  0.5 -1.   0.5 -1.   1.  -0.5
  1.  -0.5 -1.   0.5 -1.   0.5  0.1 -0.1  0.2 -0.2  0.8 -0.5 -0.5  0.8
  0.3 -0.3 -0.3  0.3  0.1  0.1]",5984
1,2,0,0.9985,0.9981666666666666,0.00016666666666666666,11,"[ 0.96223557  0.47114228  0.98939113 -0.09313471  0.60413602  0.51592994
 -0.68205105  0.2014197  -0.1795349  -0.0386525  -0.71536476  0.29406333
  0.33641004 -0.72879168 -0.86558356 -0.82340086  0.22668003 -0.64793637
  0.44348779  0.36251736 -0.40886999  0.94728853  0.49965794 -0.55495055
 -0.92195119  0.57639288  0.98407003 -0.02088273 -0.79802911  0.21364098
 -0.92610969 -0.58911375  0.50552619 -0.75635402]",5990
1,3,0,0.00016666666666666666,1.0,0.035833333333333335,0,"[-0.07479834 -0.31268665  0.52313028  0.51608784 -0.05551936  0.59980158
  0.05625124 -0.00692008 -0.17690586 -0.22285041 -0.21266157 -0.2894255
  0.53859762  0.27635555 -0.77600584  0.45734171 -0.07372014  0.29014024
  0.29702163  0.85755969 -0.58391106 -0.56221668 -0.14282291 -0.28348229
 -0.77073775 -0.70356534  0.81830107  0.10810571 -0.44745729 -0.96808258
  0.92801912  0.59154246 -0.99029079  0.98323544]",31
1,4,0,0.0,0.25666666666666665,0.013166666666666667,4460,"[-0.84564845 -0.78923152  0.95483923  0.66255961 -0.21177919 -0.35667542
  0.08912833  0.9734847   0.26901591 -0.00853263 -0.88893567  0.08886642
  0.07768701 -0.02728582  0.67862073  0.22339726  0.70586366 -0.16823632
  0.18880202 -0.39021044  0.36395234  0.1084782  -0.71914279 -0.81891376
 -0.47090754  0.94851433 -0.21545758 -0.22007241 -0.3214807  -0.77848356
  0.55198527 -0.98695982  0.82989748 -0.35139856]",8
1,5,0,0.0,0.9998333333333334,0.060833333333333336,1,"[ 0.95870936 -0.42629842 -0.68947274 -0.07407293  0.7007317   0.49403955
  0.35226981  0.7334906   0.3116687   0.15293207 -0.70829017 -0.85381293
 -0.00840526  0.17391374  0.46406034  0.38768187  0.27937572  0.87400118
  0.02265273  0.14730368 -0.21526319 -0.3737766  -0.32221779  0.42398618
 -0.28005915  0.83648004 -0.36002923  0.28360022  0.3074574  -0.8855417
 -0.69609398  0.34013227  0.62609835 -0.45329525]",37
1,6,0,0.0,1.0,0.0355,0,"[-0.02867794 -0.24197927  0.96962075 -0.14767873  0.28939867  0.7608184
 -0.88457724  0.49103291 -0.32412573 -0.87713596 -0.5563039  -0.72098871
 -0.42489862 -0.68588416  0.7394486   0.50530869 -0.4938877   0.2971812
 -0.00733465  0.51843108  0.01570383 -0.9592547   0.20004082 -0.64531139
  0.05905661 -0.70375899 -0.15341565 -0.4309747  -0.99455001 -0.93779343
 -0.81258971  0.23681716  0.66008812 -0.82093046]",36
1,7,0,0.0031666666666666666,0.1235,0.004833333333333334,5259,"[ 0.77642515 -0.17972091 -0.05088744 -0.28937789 -0.81932347  0.24472807
  0.94219689 -0.11155531  0.40221708 -0.67658034  0.65379435 -0.03841711
 -0.11753763  0.97031687  0.00195713 -0.41461847  0.59888059  0.80728925
 -0.47858861 -0.28586597  0.0982866  -0.9630342  -0.29569243  0.99471533
  0.90755171 -0.59224685 -0.40555168 -0.2906143   0.84940451  0.90760457
 -0.04127766 -0.38939537 -0.19277207  0.5396476 ]",5222
1,8,0,0.0,0.9998333333333334,0.0075,1,"[-0.00419995  0.35647579 -0.85309372  0.99265019 -0.17917527 -0.61861506
 -0.91818978  0.84827808  0.36596747  0.45647545 -0.99359055  0.71808328
  0.07057033  0.57643511 -0.99619603  0.78287118  0.39489546 -0.93325297
  0.84345042 -0.73701259 -0.28338642 -0.14684005  0.36778537  0.81335599
 -0.18670613 -0.56904578 -0.61572914  0.92694142 -0.82314661  0.10968779
 -0.06558752 -0.61206833 -0.62334825 -0.66670837]",31
1,9,0.1,0.0,1.0,0.0,0,"[-0.9951805   0.69119552  0.42120084 -0.94956576  0.56557469 -0.55082158
  0.17009741 -0.50945377 -0.5306199  -0.32099161  0.87925897 -0.28285704
 -0.21986763  0.60792457 -0.90721246  0.6361682   0.82121729  0.60609701
  0.66426088  0.40931749 -0.94471836  0.38594321 -0.38170547 -0.06203452
  0.55721931  0.64615066 -0.45054821 -0.91324609  0.66978887 -0.05629502
 -0.67070756 -0.01398417 -0.76093356 -0.32437458]",0
1,10,0,0.00016666666666666666,1.0,0.035666666666666666,0,"[ 0.25344158 -0.71465536  0.22872193 -0.66905475  0.03738771 -0.5775214
  0.25854301  0.50193281  0.5791725   0.43262355 -0.1280474   0.58336816
  0.38666276  0.57474332 -0.59172789  0.08606874  0.82816386 -0.72117438
  0.81194946 -0.52375167 -0.38155689 -0.52902887 -0.3537965   0.24901726
  0.33898062 -0.34107209 -0.21460358  0.42187767 -0.26003746  0.50140414
 -0.54211659  0.17973908  0.83288347 -0.43200768]",35
