Generation,Individual,Fitness
1,1,0.0125
1,2,0.0
1,3,0.0
1,4,0.2125
1,5,4.775
1,6,0.0125
1,7,0.0
1,8,0.0
1,9,1.1
1,10,0.0
2,1,11.4875
2,2,1.5
2,3,0.2375
2,4,0.0
2,5,0.025
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.2125
2,10,0.0
3,1,5.0
3,2,1.425
3,3,17.3625
3,4,0.0125
3,5,0.4
3,6,0.325
3,7,0.2625
3,8,0.0125
3,9,3.8625
3,10,2.3875
4,1,0.2125
4,2,9.9
4,3,17.325
4,4,0.2875
4,5,0.275
4,6,0.2625
4,7,0.0
4,8,0.0
4,9,0.2625
4,10,0.2875
5,1,0.375
5,2,17.3625
5,3,17.55
5,4,0.225
5,5,0.3625
5,6,17.3375
5,7,0.2875
5,8,0.225
5,9,5.1125
5,10,0.2125
6,1,12.175
6,2,16.95
6,3,0.4375
6,4,14.55
6,5,0.225
6,6,17.3375
6,7,0.5875
6,8,0.225
6,9,15.65
6,10,10.45
7,1,0.2375
7,2,17.2
7,3,15.1625
7,4,0.2875
7,5,0.425
7,6,0.2125
7,7,14.3125
7,8,17.25
7,9,17.2125
7,10,18.1875
8,1,17.6875
8,2,17.2625
8,3,16.6875
8,4,0.225
8,5,0.2125
8,6,0.75
8,7,17.8375
8,8,0.275
8,9,0.275
8,10,0.4875
9,1,18.1125
9,2,14.3375
9,3,15.95
9,4,15.1875
9,5,17.9375
9,6,18.0625
9,7,14.875
9,8,0.25
9,9,17.7125
9,10,18.0125
10,1,17.875
10,2,18.2
10,3,17.875
10,4,18.025
10,5,0.3
10,6,18.1625
10,7,17.475
10,8,18.275
10,9,18.0
10,10,14.3
11,1,18.075
11,2,18.225
11,3,16.3875
11,4,18.0875
11,5,18.025
11,6,18.25
11,7,18.0125
11,8,17.975
11,9,15.2375
11,10,17.9625
12,1,18.025
12,2,18.2
12,3,17.575
12,4,18.175
12,5,18.1375
12,6,18.1875
12,7,17.6375
12,8,17.6875
12,9,18.275
12,10,18.0875
13,1,17.9625
13,2,18.025
13,3,17.8125
13,4,18.1625
13,5,17.825
13,6,17.75
13,7,18.2375
13,8,17.725
13,9,15.95
13,10,2.3625
14,1,17.975
14,2,17.8125
14,3,17.2375
14,4,16.5
14,5,17.3
14,6,17.5875
14,7,18.2625
14,8,17.7875
14,9,18.1625
14,10,0.7625
15,1,17.5875
15,2,13.9875
15,3,18.0625
15,4,14.8875
15,5,18.1625
15,6,17.7875
15,7,18.2
15,8,16.6625
15,9,18.2375
15,10,18.2375
16,1,18.075
16,2,17.1125
16,3,17.6625
16,4,0.425
16,5,14.3125
16,6,18.25
16,7,1.3875
16,8,18.225
16,9,17.9875
16,10,18.025
17,1,18.2625
17,2,17.65
17,3,17.0375
17,4,17.175
17,5,17.8125
17,6,14.7125
17,7,14.4625
17,8,11.45
17,9,11.3625
17,10,13.275
18,1,11.15
18,2,11.6
18,3,5.925
18,4,10.525
18,5,10.0625
18,6,8.7125
18,7,10.9625
18,8,14.6875
18,9,9.9625
18,10,10.2875
19,1,18.1125
19,2,11.45
19,3,17.6875
19,4,8.675
19,5,10.2125
19,6,8.05
19,7,7.5875
19,8,18.0375
19,9,0.0125
19,10,16.9125
20,1,13.0875
20,2,10.3875
20,3,10.4
20,4,9.8
20,5,10.7125
20,6,12.2875
20,7,12.85
20,8,11.5625
20,9,9.375
20,10,11.575
21,1,17.8625
21,2,10.05
21,3,12.775
21,4,13.5375
21,5,10.0
21,6,16.9
21,7,14.6
21,8,17.525
21,9,16.4
21,10,13.2375
22,1,16.9125
22,2,17.9125
22,3,1.9
22,4,18.0125
22,5,13.0875
22,6,15.6625
22,7,14.5
22,8,13.425
22,9,15.1375
22,10,12.9125
23,1,13.1875
23,2,12.4
23,3,15.8625
23,4,11.9875
23,5,13.25
23,6,15.1125
23,7,17.525
23,8,17.7375
23,9,4.0375
23,10,1.0125
24,1,10.35
24,2,14.7875
24,3,7.9875
24,4,14.675
24,5,13.0375
24,6,13.825
24,7,15.9875
24,8,11.825
24,9,14.575
24,10,18.0125
25,1,14.4875
25,2,12.275
25,3,14.6875
25,4,16.225
25,5,15.95
25,6,16.0875
25,7,8.625
25,8,12.95
25,9,13.2625
25,10,13.4625
26,1,16.125
26,2,16.6375
26,3,11.3875
26,4,13.6125
26,5,13.1625
26,6,14.05
26,7,11.9875
26,8,16.7375
26,9,0.925
26,10,13.6
27,1,2.6625
27,2,13.9
27,3,2.3
27,4,13.1125
27,5,12.8375
27,6,10.8125
27,7,14.6875
27,8,11.8875
27,9,10.4625
27,10,11.5625
28,1,17.775
28,2,13.975
28,3,4.8375
28,4,8.1125
28,5,8.5125
28,6,7.1875
28,7,6.625
28,8,6.6875
28,9,11.625
28,10,17.4625
29,1,9.2125
29,2,8.6375
29,3,7.2125
29,4,13.0875
29,5,4.325
29,6,4.375
29,7,8.225
29,8,7.475
29,9,12.3
29,10,8.7375
30,1,13.9
30,2,10.3875
30,3,8.6375
30,4,17.625
30,5,17.4875
30,6,9.25
30,7,11.575
30,8,17.525
30,9,9.2625
30,10,12.075
